case_id,category,symptom,initial_evidence,expected_next_command,additional_evidence,expected_fault,osi_layer,concept,severity,expected_fix,stage,rule_solvable
V1_11,DHCP,No PCs in VLAN 10 can obtain a DHCP address,PC9: ipconfig shows no IP address assigned | Router5: show running-config shows ip dhcp excluded-address 192.168.10.1 192.168.10.254 and ip dhcp pool VLAN10_POOL network 192.168.10.0 255.255.255.0,,,The excluded address range 192.168.10.1 to 192.168.10.254 covers the entire usable address space of the DHCP pool,Layer 3,DHCP,High,Remove the original full-range exclusion and add a smaller one: no ip dhcp excluded-address 192.168.10.1 192.168.10.254 then ip dhcp excluded-address 192.168.10.1 192.168.10.10,single,yes
V1_12,DHCP,PC10 receives an IP address automatically but cannot reach any remote network,"PC10: ipconfig /all shows IPv4 address 192.168.90.50, default gateway 192.168.99.1 | Router6: show ip interface brief shows GigabitEthernet0/0 192.168.90.1 up/up for the 192.168.90.0/24 network | Router6: show run shows ip dhcp pool POOL90 network 192.168.90.0 255.255.255.0 default-router 192.168.99.1",,,The DHCP pool default-router value 192.168.99.1 does not match the router's actual interface address 192.168.90.1,Layer 3,DHCP,Medium,Correct the default-router statement: default-router 192.168.90.1,single,yes
V1_13,DHCP,Some new PCs on the 192.168.100.0/29 subnet fail to receive an IP address while existing PCs keep working,"PC11: ipconfig shows no IP address assigned | Router7: show ip dhcp pool shows pool SMALL_POOL, Total addresses 6, Leased addresses 6, Pending event none | Router7: show ip dhcp binding lists 6 active bindings",,,The DHCP pool SMALL_POOL has exhausted its available address range (6 of 6 leased) due to an undersized subnet,Layer 3,DHCP,Medium,"Expand the DHCP scope, e.g. move to a /27 subnet and update the ip dhcp pool network statement accordingly",single,no
V1_14,DNS,PC12 can ping IP addresses but cannot browse to websites by name,PC12: ipconfig /all shows DNS server 8.8.4.8 | PC12 ping to 192.168.110.1 succeeds | PC12 nslookup www.example.com fails with Request timed out,,,PC12 is configured with an unreachable/incorrect DNS server address 8.8.4.8,Layer 7,DNS,Medium,"Configure PC12 with the correct DNS server address, e.g. 192.168.110.5",single,yes
V1_15,DNS,All PCs in the office cannot resolve hostnames even though the DNS server address is configured correctly,"PC13: ipconfig /all shows DNS server 192.168.120.5, matching network documentation | PC13 nslookup www.example.com fails | PC13 ping to 192.168.120.5 fails with Request timed out",show interfaces status,"Switch7: show interfaces status shows Fa0/8 (connected to DNS Server0) in a notconnect state, disabled",The DNS server at 192.168.120.5 is unreachable because its switch port Fa0/8 is down,Layer 7,DNS,Medium,"Restore connectivity to the DNS server, e.g. reconnect the cable or issue no shutdown on Fa0/8",two-stage,no
V1_16,DNS,PC14 can ping www.internal.local by IP but browsing to the hostname loads the wrong server,PC14 ping to 192.168.130.10 (intended web server) succeeds | PC14 nslookup www.internal.local resolves to 192.168.130.20,show running-config | include ip host,Router8 running-config shows ip host www.internal.local 192.168.130.20,The router's local IOS host-table entry (ip host) for www.internal.local points to 192.168.130.20 instead of the intended 192.168.130.10,Layer 7,Cisco Local Hostname Resolution,Low,Correct the host entry: no ip host www.internal.local 192.168.130.20 then ip host www.internal.local 192.168.130.10,two-stage,yes
V1_17,Routing,PC15 on the 192.168.140.0/24 network cannot reach Server2 on the remote 192.168.150.0/24 network,"PC15 ping to Server2 192.168.150.10 fails with Destination host unreachable from 192.168.140.1 | Router9: show ip route shows only 192.168.140.0/24 and 192.168.160.0/30 as connected routes, no entry for 192.168.150.0/24",,,Router9 has no route to the 192.168.150.0/24 network,Layer 3,Static Routing,High,Add a static route: ip route 192.168.150.0 255.255.255.0 192.168.160.2,single,yes
V1_18,Routing,PC16 cannot reach the 192.168.170.0/24 remote network despite a route being present,"PC16 ping to 192.168.170.10 fails | Router10: show ip route shows S 192.168.170.0/24 [1/0] via 192.168.160.10 | Router10: show ip interface brief shows the WAN link Serial0/0/0 as 192.168.160.1 up/up, connected to neighbor 192.168.160.6",,,The static route next hop 192.168.160.10 does not match the actual neighbor router address 192.168.160.6,Layer 3,Static Routing,High,Correct the static route: no ip route 192.168.170.0 255.255.255.0 192.168.160.10 then ip route 192.168.170.0 255.255.255.0 192.168.160.6,single,yes
V1_19,Routing,Router12 can ping directly connected networks but the remote branch network 192.168.190.0/24 is missing from all routers' routing tables,"Router11 (branch): show ip interface brief shows GigabitEthernet0/1 192.168.190.1 up/up | Router12 (HQ): show ip route shows no entry for 192.168.190.0/24, only local and other OSPF routes",show running-config | section router ospf,"Router11 running-config shows router ospf 1 network 192.168.191.0 0.0.0.255 area 0, with no network statement covering 192.168.190.0/24","Router11's OSPF configuration lacks a network statement for the 192.168.190.0/24 interface, so it is never advertised",Layer 3,Dynamic Routing,High,Add the missing network statement: network 192.168.190.0 0.0.0.255 area 0,two-stage,no
V1_20,Routing,Traffic from PC17 to the 192.168.200.0/24 server network fails to reach its destination,PC17 ping to 192.168.200.10 fails | Router13: show ip route shows S 192.168.200.0/24 [1/0] via 192.168.180.2 exiting Serial0/1/0 | Router13: show ip interface brief shows Serial0/1/0 down/down and Serial0/0/0 up/up | Router13: show interfaces description shows Serial0/0/0 described as WAN link to Branch-B 192.168.200.0/24 and Serial0/1/0 described as Backup WAN link currently down,,,"The static route for 192.168.200.0/24 points out the down Serial0/1/0 interface instead of Serial0/0/0, which the interface description identifies as the active link to that network",Layer 3,Static Routing,Medium,Update the static route to use the active interface: ip route 192.168.200.0 255.255.255.0 Serial0/0/0,single,yes
V1_21,ACL,PC18 can ping Server3 but cannot open its web page,PC18 ping to Server3 192.168.210.10 succeeds | PC18 browser request to http://192.168.210.10 times out | Router14: show ip interface brief shows GigabitEthernet0/1 up/up facing Server3's subnet,show access-lists,Extended IP access list 110: 10 deny tcp any host 192.168.210.10 eq 80 (12 match(es)) | 20 permit ip any any,ACL 110 denies TCP port 80 (HTTP) traffic to Server3,Layer 4,ACL Filtering,High,Modify ACL 110 to permit HTTP traffic to 192.168.210.10 on port 80,two-stage,no
V1_22,ACL,Server4 cannot initiate connections to outside hosts even though the ACL is intended to restrict only inbound traffic,"Router15: show ip interface brief shows GigabitEthernet0/1 as 192.168.220.1, the interface directly facing Server4's LAN segment, and GigabitEthernet0/0 facing the outside network | Router15: show running-config interface gigabitEthernet0/1 shows ip access-group 120 out | Router15: show access-lists shows access-list 120 permit tcp any host 192.168.220.10 eq 80, with all other traffic implicitly denied",,,"ACL 120 is applied outbound on GigabitEthernet0/1, the interface facing Server4's own LAN. In that direction the ACL only permits inbound web traffic to 192.168.220.10, so all other traffic the router forwards toward Server4's subnet -- including return traffic for connections Server4 itself initiates outward -- is caught by the implicit deny",Layer 3,ACL Filtering,Medium,"Reapply the ACL on the interface facing the outside network instead, e.g. ip access-group 120 in on GigabitEthernet0/0, or add explicit permit statements on Gi0/1 out for Server4's outbound return traffic",single,yes
V1_23,ACL,Admin PC19 cannot establish an SSH session to Router16 even though other subnet devices are permitted,PC19 (192.168.230.20) ping to Router16 192.168.230.1 succeeds | PC19 SSH attempt to 192.168.230.1 times out | Router16: show ip interface brief shows the management interface up/up,show access-lists,Standard IP access list 15: 10 permit 192.168.230.0 0.0.0.15 (referenced by the vty access-class),"ACL 15's wildcard mask 0.0.0.15 only covers addresses 192.168.230.0 to 192.168.230.15, excluding PC19 at 192.168.230.20 from the permitted vty access list",Layer 4,ACL Filtering,Medium,Correct the wildcard mask to cover the full subnet: access-list 15 permit 192.168.230.0 0.0.0.255,two-stage,no
V1_24,NAT,Only one internal host at a time can access the internet; additional hosts fail to reach external websites,PC20 (192.168.240.10) can browse the internet | PC21 (192.168.240.11) ping to 8.8.8.8 fails | Router17: show ip nat translations shows a single active translation for 192.168.240.10,show running-config | section nat,"Router17 running-config shows ip nat inside source list 1 pool NATPOOL, where NATPOOL is a dynamic address pool defined as ip nat pool NATPOOL 203.0.113.5 203.0.113.5 netmask 255.255.255.255, configured without the overload keyword","NAT is configured as a dynamic pool without overload (no PAT), so it maps only one internal host to the single public address at a time and cannot support multiple simultaneous translations",Layer 3,NAT,Medium,Enable PAT by adding the overload keyword: ip nat inside source list 1 pool NATPOOL overload,two-stage,no
V1_25,NAT,PCs on the 192.168.250.0/24 LAN cannot reach the internet even though address translation appears configured,PC22 ping to 8.8.8.8 fails | Router18: show running-config shows access-list 1 permit 192.168.251.0 0.0.0.255 and ip nat inside source list 1 interface GigabitEthernet0/0 overload | Router18: show ip interface brief shows GigabitEthernet0/1 192.168.250.1 up/up as the LAN interface,,,NAT access-list 1 references the wrong subnet 192.168.251.0/24 instead of the actual LAN subnet 192.168.250.0/24,Layer 3,NAT,High,Correct the ACL: no access-list 1 permit 192.168.251.0 0.0.0.255 then access-list 1 permit 192.168.250.0 0.0.0.255,single,yes
V1_26,NAT,"No hosts on the internal LAN can reach the internet, and show ip nat translations stays empty despite traffic attempts","PC23 ping to 8.8.8.8 fails | Router19: show running-config shows interface GigabitEthernet0/0 (LAN side) configured with ip nat outside, and interface GigabitEthernet0/1 (WAN side) configured with ip nat inside",,,The NAT inside and outside interface designations are reversed on Router19,Layer 3,NAT,High,Correct the interface roles: interface GigabitEthernet0/0; ip nat inside / interface GigabitEthernet0/1; ip nat outside,single,yes
V1_27,NAT,"During peak hours, some internal hosts lose internet access while others continue to work fine","PC24 and PC25 can browse normally | PC26 ping to 8.8.8.8 fails during peak usage | Router20: show running-config shows ip nat inside source list 1 pool NATPOOL, a dynamic pool with no overload keyword present | Router20: show ip nat statistics shows Pool NATPOOL: netmask 255.255.255.248, start 203.0.113.10 end 203.0.113.14, total addresses 5, allocated 5 (100%)",show ip nat translations,"Router20: show ip nat translations lists 5 active translations, each mapped one-to-one to a distinct pool address with no port-based sharing, confirming the pool is fully allocated","NAT pool NATPOOL is configured without overload and has only 5 addresses, exhausting available translations under peak load",Layer 3,NAT,Medium,Add the overload keyword to allow port-based address sharing: ip nat inside source list 1 pool NATPOOL overload,two-stage,yes
V1_28,Wireless,Laptop0 cannot see or connect to the office wireless network,Laptop0: PC Wireless GUI (Desktop > PC Wireless > Connect tab) shows configured SSID OfficeNet | AP0: GUI Config tab (Interface > Wireless0 > Basic Wireless Settings) shows the broadcast SSID configured as Office_Net on VLAN 50,,,Laptop0 is configured with SSID OfficeNet which does not match the access point's actual SSID Office_Net,Layer 2,Wireless VLAN,Low,Update Laptop0's wireless profile SSID to Office_Net,single,yes
V1_29,Wireless,Laptop1 detects the correct SSID but repeatedly fails to associate with the wireless network,"Laptop1: PC Wireless settings shows SSID HomeNet matching AP1's broadcast SSID, authentication WPA2-PSK with passphrase wireless123 | AP1: show running-config wlan shows WPA2-PSK passphrase configured as Wireless2024",,,Laptop1's configured WPA2 passphrase does not match the access point's configured passphrase,Layer 2,Wireless VLAN,Medium,Update Laptop1's wireless passphrase to match the AP: Wireless2024,single,yes
V1_30,Wireless,"Wireless clients associate successfully and get an IP address, but cannot reach internal servers that wired VLAN 10 clients can reach",Laptop2 associates to AP2 with strong signal and obtains IP 192.168.60.150 | Laptop2 ping to internal Server5 192.168.10.50 fails | AP2 is connected to Switch8 port Fa0/15,show vlan brief,"Switch8: show vlan brief shows Fa0/15 assigned to VLAN 60, while wireless clients are expected to be on VLAN 10 with Server5","AP2's switch port Fa0/15 is assigned to VLAN 60 instead of the intended wireless VLAN 10, placing wireless clients on the wrong subnet",Layer 2,Wireless VLAN,High,Reassign Fa0/15 to VLAN 10: interface fa0/15; switchport access vlan 10,two-stage,no
